"country","AreaName","RegName","incomeperperson","alcconsumption","armedforcesrate","breastcancerper100th","co2emissions","femaleemployrate","hivrate","internetuserate","lifeexpectancy","polityscore","relectricperperson","suicideper100th","employrate","urbanrate","Religion"
"Egypt","Africa","Northern Africa","1975.551906","0.32","3.2908071","24.2","3341129000","18.20000076","0.06","26.74002538","73.235","-3","536.7604507","1.799903631","42.40000153","42.72","Islam"
"El Salvador","Latin America and the Caribbean","Central America","2557.433638","3.99","1.321155","13.6","143586666.7","44.79999924","0.8","15.89998203","72.196","8","256.0991513","7.304886","58.20000076","60.7","Christianity"
"Equatorial Guinea","Africa","Middle Africa","8654.536845","6.12","0.3976544","16.5","26125000","39.59999847","5","6.003437143","51.088","-5","","10.12934971","61.70000076","39.38","Christianity"
"Eritrea","Africa","Eastern Africa","131.796207","1.64","9.8201265","19.5","7315000","51.70000076","0.8","5.399666997","61.597","-7","20.28813109","8.913362503","64.90000153","20.72","Christianity"
"Estonia","Europe","Northern Europe","6238.537506","17.24","0.9984276","47.7","277170666.7","52.09999847","1.2","74.1630403","74.825","9","1411.230532","16.95924","56.5","69.46","Unaffiliated Religions"
"Ethiopia","Africa","Eastern Africa","220.8912479","4.1","0.3617085","24.7","119958666.7","73","","0.74999585","59.274","1","15.05623591","10.07194233","80.69999695","17","Christianity"
"Fiji","Oceania","Melanesia","2230.676374","2.76","1.1772684","31.2","35717000","36.79999924","0.1","14.83073588","69.245","-4","","3.94025898","56.40000153","52.36","Christianity"
"Finland","Europe","Northern Europe","27110.73159","13.1","1.1774157","84.7","2420300667","53.40000153","0.1","86.89884451","79.977","10","4036.953993","16.23437","57.20000076","63.3","Christianity"
"France","Europe","Western Europe","22878.46657","12.48","1.2337802","91.9","33341634333","45.59999847","0.4","77.49861935","81.539","9","2539.753273","14.09153","51.20000076","77.36","Christianity"
"Gabon","Africa","Middle Africa","4180.765821","9.46","1.0189063","18.2","170804333.3","52.59999847","5.2","7.232224246","62.703","3","537.1047381","7.745064735","59","85.04","Christianity"
"Gambia","Africa","Western Africa","354.5997263","3.58","0.1345905","6.4","7355333.333","65.69999695","2","9.196775477","58.491","-5","","6.449156761","71.69999695","56.42","Islam"
"Georgia","Asia","Western Asia","1258.762596","6.66","1.4507353","51.8","81191000","48.5","0.1","26.29725148","73.737","6","617.9255518","1.574350119","55.59999847","52.74","Christianity"
"Germany","Europe","Western Europe","25306.18719","12.14","0.5758096","79.8","41229554667","46.79999924","0.1","82.52689791","80.414","10","1693.891898","9.211085","53.5","73.64","Christianity"
"Ghana","Africa","Western Africa","358.9795398","3.11","0.1314868","28.1","188268666.7","64.09999847","1.8","9.549930701","64.228","8","97.24649212","6.288554668","65.09999847","50.02","Christianity"
"Greece","Europe","Southern Europe","13577.87989","11.01","3.0932506","51.6","2712915333","37.79999924","0.1","44.57007444","79.915","10","1690.718434","2.816705","49.59999847","61","Christianity"
"Grenada","Latin America and the Caribbean","Caribbean","5330.401612","10.71","","","4774000","","","33.61668288","75.956","","","3.576478243","","30.84","Christianity"
"Guatemala","Latin America and the Caribbean","Central America","1860.753895","7.1","0.6608385","25.9","242594000","44","0.8","10.49994819","71.172","8","187.3248822","2.234896","62.70000076","48.58","Christianity"
"Guinea","Africa","Western Africa","411.5014473","0.79","0.4026995","15.3","46684000","77.59999847","1.3","0.999958926","54.097","-1","","7.443826199","81.5","34.44","Islam"
"Guinea-Bissau","Africa","Western Africa","161.3171371","3.9","0.9301079","28.1","7813666.667","49.90000153","2.5","2.450362244","48.132","6","","7.563692093","65.90000153","29.84","Islam"
"Guyana","Latin America and the Caribbean","South America","1200.652075","8.7","0.8776657","29.5","69329333.33","41.79999924","1.2","29.87992146","69.927","6","","35.75287247","58.90000153","28.38","Christianity"
"Haiti","Latin America and the Caribbean","Caribbean","371.4241975","5.92","0","4.4","40857666.67","35.40000153","1.9","8.370206884","62.095","5","9.192394708","1.519248009","55.90000153","46.84","Christianity"
"Honduras","Latin America and the Caribbean","Central America","1392.411829","4.43","0.7108232","25.9","131703000","34.20000076","0.8","11.09076463","73.126","7","278.739635","7.060184479","56.29999924","47.88","Christianity"
"Hong Kong","Asia","Eastern Asia","35536.07247","","","","1026813333","51.59999847","","71.84912394","82.759","","1468.640784","2.72","59","100","Unaffiliated Religions"
"Hungary","Europe","Eastern Europe","5634.003948","16.12","0.8668624","63","4244009000","40.29999924","0.06","65.16325092","74.414","10","1154.179932","20.16201","47.29999924","67.5","Christianity"
"Iceland","Europe","Northern Europe","33945.31442","7.38","0.0661","90","92770333.33","69.59999847","0.3","95.63811321","81.804","","2826.044873","11.42618084","73.59999847","92.26","Christianity"
"India","Asia","Southern Asia","786.7000981","2.69","0.5739204","19.1","30391317000","32.29999924","0.3","7.499995878","65.438","9","110.7054664","18.58382607","55.40000153","29.54","Hinduism"
"Indonesia","Asia","South-Eastern Asia","1143.831514","0.56","0.5159403","26.1","6710201667","44.09999847","0.2","9.900038672","69.366","8","221.9614614","11.39611149","61.5","51.46","Islam"
"Iran","Asia","Southern Asia","2161.54651","1.03","2.0263996","17.1","9183548000","26.89999962","0.2","13.00011072","72.974","-7","753.2098022","6.021882057","47.79999924","68.46","Islam"
"Iraq","Asia","Western Asia","736.2680538","0.47","7.7379125","31.7","2421917667","12.39999962","","2.471948347","69.042","0","0","17.03264618","37.40000153","66.6","Islam"
"Ireland","Europe","Northern Europe","27595.09135","14.92","0.4500244","74.9","1633778667","51","0.2","69.77039441","80.557","10","2051.802338","10.36507","59.90000153","61.34","Christianity"
"Israel","Asia","Western Asia","22275.75166","2.52","5.8731426","90.8","1561079667","46.40000153","0.2","65.38778594","81.618","10","2342.435248","5.931845","51.29999924","91.66","Judaism"
"Italy","Europe","Southern Europe","18982.26929","9.72","1.7293464","74.4","19000454000","35.79999924","0.3","53.7402166","81.855","10","1176.385457","4.930044509","46.40000153","68.08","Christianity"
"Jamaica","Latin America and the Caribbean","Caribbean","3665.348369","5.17","0.2437395","43.5","340090666.7","47.5","1.7","26.47722324","73.127","9","368.4346061","4.417507172","58.20000076","53.3","Christianity"
"Japan","Asia","Eastern Asia","39309.47886","7.79","0.3618584","32.7","46092214667","46.20000076","0.06","77.63853515","83.394","10","2257.572233","18.94693","57.29999924","66.48","Unaffiliated Religions"
"Jordan","Asia","Western Asia","2534.00038","0.65","5.9096991","33","377303666.7","13","","38.88120159","73.403","-3","719.4765302","0.201448724","38.90000153","78.42","Islam"
"Kazakhstan","Asia","Central Asia","2481.718918","11.1","0.9562696","38.7","2484925667","58.20000076","0.1","33.38212816","67.017","-6","484.098988","25.4046","63.70000076","57.94","Islam"
"Kenya","Africa","Eastern Africa","468.6960436","3.88","0.1595738","25.2","283583666.7","66.59999847","6.3","25.8997967","57.134","7","41.18000321","10.93771839","73.19999695","21.6","Christianity"
"corée du nord","Asia","Eastern Asia","","","10.6385211","20.4","5896388667","56","","","68.846","-9","0","4.735673428","64.59999847","62.68","Christianity"
"corée du sud","Asia","Eastern Asia","16372.49978","19.15","2.8339665","20.4","9666891667","48","0.06","82.515928","80.642","8","1142.309009","22.40456","58.90000153","81.46","Christianity"
"Kuwait","Asia","Western Asia","","0.1","1.6095482","31.8","1712755000","42","","38.26023355","74.576","-7","8362.567977","1.498057424","65.69999695","98.36","Islam"
"Kyrgyzstan","Asia","Central Asia","372.728414","4.72","0.8377678","23","87970666.67","48.79999924","0.3","19.58231645","67.714","1","428.3123071","9.875281","58.90000153","36.28","Islam"
"Laos","Asia","South-Eastern Asia","554.8798401","6.99","4.3015761","10.9","21332666.67","78.09999847","0.2","6.999880342","67.484","-7","","26.21919823","78.19999695","30.88","Buddhism"
"Latvia","Europe","Northern Europe","5011.219456","13.45","1.3164321","44.3","125755666.7","50.70000076","0.7","71.51472354","73.339","8","904.6694454","20.36959","56.79999924","68.12","Christianity"
"Lebanon","Asia","Western Asia","6746.612632","2.3","5.4065355","52.5","428006333.3","22.29999924","0.1","31.00437828","72.64","7","913.8456602","5.83831501","46","86.96","Islam"
"Lesotho","Africa","Southern Africa","495.7342469","5.56","0.2176526","13.1","","49.79999924","23.6","3.860565398","48.196","8","","7.858619213","56.29999924","25.46","Christianity"
"Liberia","Africa","Western Africa","155.0332312","5.07","0.1299529","18.8","38991333.33","53.20000076","1.5","7.000213821","56.786","6","","7.1848526","66","60.14","Christianity"
"Libya","Africa","Northern Africa","7885.468037","0.1","3.3116742","23.4","1414031667","23.20000076","","14.00024673","74.788","-7","846.0149226","4.667024612","48.59999847","77.54","Islam"
"Lithuania","Europe","Northern Europe","5332.238591","16.3","1.4878309","38.5","226255333.3","48.79999924","0.1","62.81190001","72.231","10","758.8587192","33.34186","53.09999847","66.96","Christianity"
"Luxembourg","Europe","Western Europe","52301.58718","12.84","0.7313362","82.5","592012666.7","45.90000153","0.3","90.07952663","79.963","","1566.106139","12.40591812","53.5","82.44","Christianity"
"Macao","Europe","Northern Europe","33923.31387","","","","38397333.33","57.5","","56.76408235","80.934","","","6.25","63.59999847","100","Folk Religions"
"Macedonia","Europe","Western Europe","2221.185664","8.94","2.101467","52.1","168883000","26.79999924","","51.91418432","74.847","9","","7.876878262","34.90000153","66.9","Christianity"
"Madagascar","Africa","Eastern Africa","242.6775342","1.32","0.2351846","19.5","62777000","79.19999695","0.2","1.699985145","66.718","0","","5.767406464","83","29.52","Christianity"
"Malawi","Africa","Eastern Africa","184.1417966","1.44","0.1145925","10.5","28490000","69","11","2.259975885","54.21","6","","10.17173481","71.80000305","18.8","Christianity"
"Malaysia","Asia","South-Eastern Asia","5184.709328","0.87","1.1421267","30.8","2670950333","43.09999847","0.5","56.3000337","74.221","6","767.9703238","8.2110672","60.5","70.36","Islam"
"Maldives","Asia","Southern Asia","4038.857818","","","","8231666.667","42.09999847","0.06","28.28970095","76.848","","","22.35347939","56.90000153","37.86","Islam"
"Mali","Africa","Western Africa","269.8928811","0.99","0.3269778","18.2","17515666.67","34.40000153","1","2.699966448","51.444","7","","8.262892723","45.70000076","32.18","Islam"
"Malta","Europe","Southern Europe","11066.78414","4.1","1.1443188","76.1","73784333.33","30.10000038","0.1","63.07799279","79.634","","1598.673959","4.551121235","46.79999924","94.26","Christianity"
"Marshall Islands","Oceania","Micronesia","2437.282445","","","","1206333.333","","","","","","","7.202383518","","71.08","Christianity"
"Mauritania","Africa","Western Africa","609.1312059","0.11","1.5512617","28.1","56818666.67","45.29999924","0.7","2.999803179","58.582","-2","","6.882952213","46.90000153","41","Islam"
"Mauritius","Africa","Eastern Africa","5182.143721","3.53","0.3495439","31.6","59473333.33","36.29999924","1","28.7318835","73.373","10","","8.08154","54.5","42.48","Hinduism"
"Mexico","Latin America and the Caribbean","Central America","6105.280743","8.55","0.6123401","26.4","13304503667","39.59999847","0.3","31.05001287","76.954","8","431.6253788","4.288574","57.90000153","77.2","Christianity"
"Micronesia","Europe","Western Europe","2146.358593","5.25","","","","","","20.01153153","68.978","","","4.762269974","","22.54","Christianity"
"Moldova","Asia","Eastern Asia","595.8745345","23.01","0.5415062","49.6","149904333.3","43.59999847","0.4","40.1222347","69.317","8","304.9401148","15.53849","44.29999924","41.76","Christianity"
"Monaco","Europe","Southern Europe","105147.4377","","","","","","","","","","","11.1510725","","100","Christianity"
"Mongolia","Asia","Eastern Asia","772.9333448","3.41","1.2118685","6.6","300934333.3","50.90000153","0.06","12.90000468","68.498","10","303.8054487","13.08961582","52.09999847","57.18","Buddhism"
"Montenegro","Europe","Southern Europe","2222.335052","","","","","","","51.95803797","74.573","9","","17.7995","","60.18","Christianity"
"Morocco","Africa","Northern Africa","1844.351028","1.24","2.0858528","22.5","953051000","22.20000076","0.1","49.00063184","72.15","-6","209.0945173","2.109413624","46.20000076","56.02","Islam"
"Mozambique","Africa","Eastern Africa","389.7636343","2.27","0.1022692","3.9","107096000","82.19999695","11.5","4.170136385","50.239","5","31.3868377","10.55037498","77","36.84","Christianity"
"Namibia","Africa","Southern Africa","2667.24671","12.09","1.9729132","24.7","26209333.33","37.29999924","13.1","6.500822821","62.465","6","0","8.021969795","42","36.84","Christianity"
"Nepal","Asia","Southern Asia","268.2594495","2.42","1.0127322","21.8","52657000","54.59999847","0.4","7.930096349","68.795","6","31.54456397","11.65520954","61.79999924","17.24","Hinduism"
"Netherlands","Europe","Western Europe","26551.84424","9.75","0.5261262","86.7","9483023000","54.29999924","0.2","90.70355509","80.734","10","1490.056909","8.164005","61.29999924","81.82","Christianity"
"New Zealand","Oceania","Australia and New Zealand","14778.16393","9.99","0.3891575","91.9","1321661000","58.29999924","0.1","83.00258425","80.654","10","2993.09266","12.17976","65","86.56","Christianity"
"Nicaragua","Latin America and the Caribbean","Central America","948.355952","5.21","0.5265916","23.9","109681000","36","0.2","9.998554154","74.044","9","126.8265778","12.12226868","58.79999924","56.74","Christianity"
"Niger","Africa","Western Africa","180.083376","0.34","0.2177167","23.3","30800000","38","0.8","0.829997485","54.675","-3","","9.257975578","60.40000153","16.54","Islam"
"Nigeria","Africa","Western Africa","544.5994767","12.72","0.3331953","31.2","2386820333","36.5","3.6","28.43003266","51.879","4","74.0642409","7.631049633","50.90000153","48.36","Christianity"
"Norway","Europe","Northern Europe","39972.35277","8.35","0.7205279","74.8","1962704333","60.90000153","0.1","93.27750793","81.097","10","7432.130852","10.823","65","77.48","Christianity"
"Oman","Asia","Western Asia","11191.81101","0.92","4.4659976","13.2","487993000","22.60000038","0.1","61.98741286","72.974","-8","2124.608816","3.716739416","50.70000076","71.62","Islam"
"Pakistan","Asia","Southern Asia","668.547943","0.05","1.6494507","50.1","2329308667","19","0.1","16.78003702","65.437","5","186.925515","12.86981487","51","36.16","Islam"
"Palau","Oceania","Micronesia","6243.571318","9.86","","","1723333.333","","","","","","","5.554276466","","80.46","Christianity"
"Panama","Latin America and the Caribbean","Central America","5900.616944","7.3","0.7502103","29","170404666.7","43.40000153","0.9","42.74781206","76.128","9","500.2885055","6.1052819","59.79999924","73.2","Christianity"
"Papua New Guinea","Oceania","Melanesia","744.2394132","3.64","0.1051147","17.3","88337333.33","68.90000153","0.9","1.280049647","62.791","4","","11.95694065","70.40000153","12.54","Christianity"
"Paraguay","Latin America and the Caribbean","South America","1621.177078","7.91","0.885386","34.4","95256333.33","65.30000305","0.3","19.80168119","72.477","8","528.648051","4.409532","73.09999847","60.3","Christianity"
"Peru","Latin America and the Caribbean","South America","3180.430612","6.53","1.4356332","35.1","1146277000","59.79999924","0.4","34.30060399","73.99","9","239.389457","1.658907771","68.30000305","71.4","Christianity"
"Philippines","Asia","South-Eastern Asia","1383.401869","6.08","0.3880673","46.6","2008116000","46.79999924","0.06","24.99994585","68.749","8","179.6151806","1.922485113","61","64.92","Christianity"
"Poland","Europe","Eastern Europe","6575.745044","14.43","0.8101865","50.3","23053598333","42.09999847","0.1","62.47123013","76.126","10","704.3997516","13.63706","48.70000076","61.32","Christianity"
"Portugal","Europe","Southern Europe","11744.83417","13.89","1.616886","55.5","1865922667","50.59999847","0.6","51.2804784","79.499","10","1259.392457","8.188375473","57.59999847","59.46","Christianity"
"Qatar","Asia","Western Asia","33931.83208","1.29","1.3342359","33.3","811965000","39.59999847","0.06","81.59039727","78.371","-10","4759.453844","2.515720844","76","95.64","Islam"
"Romania","Europe","Eastern Europe","2636.7878","16.15","1.5367663","44.3","7104137333","43.79999924","0.1","40.02009488","73.979","9","467.5658077","10.05932","49.5","54.24","Christianity"
"Russia","Europe","Eastern Europe","2923.144355","16.23","1.9414459","38.8","23404568000","53.79999924","1","43.36649772","68.823","4","825.9411107","27.87416","58.79999924","72.84","Christianity"
"Rwanda","Africa","Eastern Africa","338.2663912","9.99","0.7268554","8.8","20152000","80.5","2.9","13.00000612","55.442","-3","","13.11794853","79.80000305","18.34","Christianity"
"Saudi Arabia","Asia","Western Asia","9425.32587","0.34","2.6182964","24.7","7861553333","17.70000076","","41.00012846","73.911","-10","3433.932449","6.401537895","51.20000076","82.42","Islam"
"Senegal","Africa","Western Africa","561.7085848","0.51","0.3622613","18.4","127108666.7","56.90000153","0.9","15.99964999","59.318","7","55.79474354","6.81143856","65.59999847","42.38","Islam"
"Serbia","Europe","Southern Europe","1194.711433","12.21","","","","","0.1","43.05506706","74.522","8","1387.978521","13.71634","","52.04","Christianity"
"Seychelles","Africa","Eastern Africa","8614.120219","12.11","","","9155666.667","","","40.77285057","","","","9.507927895","","54.34","Christianity"
"Sierra Leone","Africa","Western Africa","268.3317903","9.48","0.5235483","28.1","29758666.67","63.40000153","1.6","","47.794","7","","11.98049736","63.79999924","37.76","Islam"
"Singapore","Asia","South-Eastern Asia","32535.83251","1.54","6.3949358","48.7","1548044667","51.29999924","0.1","71.13170731","81.126","-2","1464.837281","9.127511","62.40000153","100","Buddhism"
"Slovak Republic","Europe","Eastern Europe","8445.526689","13.31","0.628578","48","590674333.3","45.29999924","0.06","79.88977734","75.446","10","830.701647","10.64574","53.40000153","56.56","Christianity"
"Slovenia","Europe","Southern Europe","12729.4544","14.94","1.1602817","58.9","214368000","49.40000153","0.06","69.33997072","79.341","10","1585.174739","19.42261","55.90000153","48.6","Christianity"
"Solomon Islands","Africa","Middle Africa","1144.102193","1.37","","29.8","5210333.333","51.29999924","","5.001375465","67.852","8","","4.484752655","65","17.96","Christianity"
"Somalia","Africa","Eastern Africa","971","0.5","","19.5","16379000","50.70000076","0.7","","51.219","0","","29.86416435","66","36.52","Islam"
"South Africa","Africa","Southern Africa","3745.649852","10.16","0.3318626","35","14609848000","34.29999924","17.8","12.33489326","52.797","9","920.1375998","15.714571","41.09999847","60.74","Christianity"
"Spain","Europe","Southern Europe","15461.75837","11.83","0.9795374","50.9","10822529667","41.70000076","0.4","65.80855367","81.404","10","1779.50351","5.888479","52.5","77.12","Islam"
"Sri Lanka","Asia","Southern Asia","1295.742686","0.81","2.569643","23.6","253854333.3","39.20000076","0.06","11.99997066","74.941","6","161.0934685","28.10404587","55.09999847","15.1","Christianity"
"Sudan","Africa","Northern Africa","523.9501515","2.56","0.969499","22.5","225019666.7","27.89999962","1.1","","61.452","-4","50.89210138","9.709555626","47.29999924","43.44","Islam"
"Suriname","Latin America and the Caribbean","South America","2668.020519","6.56","1.0584191","30","86317000","30.39999962","1","31.5680976","70.563","","","20.7474308","44.70000076","74.92","Christianity"
"Swaziland","Africa","Southern Africa","1810.230533","5.05","","12.3","22704000","47.09999847","25.9","9.007735909","48.718","-9","","12.87222195","50.90000153","24.94","Christianity"
